name,pos,weight
balmer,3645.39264,0.0006935366
balmer,3645.389601,0.0006935351
balmer,3645.386604,0.0006935335999999
balmer,3645.383649,0.0006935320999999
balmer,3645.380734,0.0006935306999999
balmer,3645.37786,0.0006935293
balmer,3645.375026,0.0006935278
balmer,3645.37223,0.0006935264
balmer,3645.369472,0.0006935250999999
balmer,3645.366751,0.0006935236999999
balmer,3645.364068,0.0006935224
balmer,3645.36142,0.000693521
balmer,3645.358807,0.0006935196999999
balmer,3645.35623,0.0006935183999999
balmer,3645.353686,0.0006935172
balmer,3645.351176,0.0006935159
balmer,3645.348699,0.0006935147
balmer,3645.346255,0.0006935134
balmer,3645.343842,0.0006935122
balmer,3645.341461,0.0006935109999999
balmer,3645.33911,0.0006935099
balmer,3645.336789,0.0006935087
balmer,3645.334498,0.0006935075999999
balmer,3645.332237,0.0006935064
balmer,3645.330004,0.0006935052999999
balmer,3645.327799,0.0006935042
balmer,3645.325622,0.0006935030999999
balmer,3645.323472,0.000693502
balmer,3645.321349,0.000693501
balmer,3645.319252,0.0006934998999999
balmer,3645.317182,0.0006934988999999
balmer,3645.315137,0.0006934979
balmer,3645.313117,0.0006934969
balmer,3645.311121,0.0006934959
balmer,3645.30915,0.0006934948999999
balmer,3645.307203,0.0006934938999999
balmer,3645.305279,0.0006934928999999
balmer,3645.303379,0.0006934919999999
balmer,3645.301501,0.0006934909999999
balmer,3645.299646,0.0006934900999999
balmer,3645.297812,0.0006934892
balmer,3645.296001,0.0006934883
balmer,3645.29421,0.0006934874
balmer,3645.292441,0.0006934864999999
balmer,3645.290693,0.0006934855999999
balmer,3645.288964,0.0006934848
balmer,3645.287256,0.0006934839
balmer,3645.285568,0.0006934830999999
balmer,3645.283899,0.0006934822
balmer,3645.282249,0.0006934814
balmer,3645.280618,0.0006934806
balmer,3645.279006,0.0006934798
balmer,3645.277412,0.0006934789999999
balmer,3645.275836,0.0006934782
balmer,3645.274277,0.0006934773999999
balmer,3645.272737,0.0006934766999999
balmer,3645.271213,0.0006934759
balmer,3645.269706,0.0006934750999999
balmer,3645.268216,0.0006934744
balmer,3645.266743,0.0006934737
balmer,3645.265286,0.0006934728999999
balmer,3645.263844,0.0006934721999999
balmer,3645.262419,0.0006934715
balmer,3645.261009,0.0006934708
balmer,3645.259614,0.0006934700999999
balmer,3645.258235,0.0006934693999999
balmer,3645.25687,0.0006934686999999
balmer,3645.25552,0.000693468
balmer,3645.254184,0.0006934674
balmer,3645.252863,0.0006934667
balmer,3645.251555,0.0006934661
balmer,3645.250262,0.0006934654
balmer,3645.248982,0.0006934648
balmer,3645.247715,0.0006934641
balmer,3645.246462,0.0006934635
balmer,3645.245222,0.0006934629
balmer,3645.243995,0.0006934623
balmer,3645.24278,0.0006934616999999
balmer,3645.241578,0.0006934610999999
balmer,3645.240389,0.0006934604999999
balmer,3645.239211,0.0006934598999999
balmer,3645.238046,0.0006934593
